Alpha,Score_Function,Predictor,coverage_rate,average_size
0.05,APS,SplitPredictor,0.9382119178771973,2.759061098098755
0.05,APS,ClassConditionalPredictor,1.0,200.0
0.05,APS,RC3PPredictor,0.9530549049377441,8.791163444519043
0.05,LAC,SplitPredictor,0.936486005783081,1.8743528127670288
0.05,LAC,ClassConditionalPredictor,1.0,200.0
0.05,LAC,RC3PPredictor,0.9530549049377441,8.791163444519043
0.05,EntmaxScore,SplitPredictor,0.9420089721679688,1.9223334789276123
0.05,EntmaxScore,ClassConditionalPredictor,1.0,200.0
0.05,EntmaxScore,RC3PPredictor,0.9530549049377441,8.791163444519043
0.1,APS,SplitPredictor,0.8805661201477051,1.7690714597702026
0.1,APS,ClassConditionalPredictor,0.9264756441116333,9.576112747192383
0.1,APS,RC3PPredictor,0.9030030965805054,2.5008628368377686
0.1,LAC,SplitPredictor,0.8871245980262756,1.1908870935440063
0.1,LAC,ClassConditionalPredictor,0.9278563857078552,8.92405891418457
0.1,LAC,RC3PPredictor,0.9036934971809387,2.4836037158966064
0.1,EntmaxScore,SplitPredictor,0.8888505101203918,1.2181566953659058
0.1,EntmaxScore,ClassConditionalPredictor,0.9420089721679688,9.479806900024414
0.1,EntmaxScore,RC3PPredictor,0.915774941444397,2.586123466491699
0.2,APS,SplitPredictor,0.797721803188324,1.2682085037231445
0.2,APS,ClassConditionalPredictor,0.7949603199958801,1.6341042518615723
0.2,APS,RC3PPredictor,0.8270624876022339,1.435623049736023
0.2,LAC,SplitPredictor,0.7904729247093201,0.8722816705703735
0.2,LAC,ClassConditionalPredictor,0.8056610226631165,1.2623403072357178
0.2,LAC,RC3PPredictor,0.8363824486732483,1.4245771169662476
0.2,EntmaxScore,SplitPredictor,0.8412150740623474,1.0
0.2,EntmaxScore,ClassConditionalPredictor,0.8829823732376099,1.4490852355957031
0.2,EntmaxScore,RC3PPredictor,0.8919572234153748,1.6289265155792236
